ID,situs_3,situs_4,X,Y
43922,1 NE 110TH TERR,1 NE 110TH TER,-94.57971648,39.29421342
44302,1 NE 111TH ST,1 NE 111TH ST,-94.57972751,39.29494794
45659,1 NW 112TH ST,1 NW 112TH ST,-94.58056947,39.29648508
41261,1 NW 106TH TERR,1 NW 106TH TER,-94.58084452,39.2863063
40945,1 NE 103RD TERR,1 NE 103RD TER,-94.57997892,39.28146672
803570,1 NE 94TH CT,1 NE 94TH CT,-94.57925489,39.26401375
803553,1 NE 95TH CT,1 NE 95TH CT,-94.57930581,39.26480797
793053,1 NW 90TH PL,1 NW 90TH PL,-94.58070758,39.25863823
71860,1 NE 82ND TERR,1137 31ST ST E,-94.58021823,39.24346139
50690,1 NW 82ND ST,1 NW 82ND ST,-94.58079623,39.24253453
566602,1 NW 79TH ST,1 NW 79TH ST,-94.58098339,39.23750398
565932,1 NW 80TH ST,817 NE 41ST ST,-94.58085791,39.23896424
48644,1 NE 80TH ST,1 NE 80TH ST,-94.58037647,39.23891448
73013,1 NE 77TH ST,1 NE 77TH ST,-94.58040343,39.23345552
60589,1 NE 74TH ST,1 NE 74TH ST,-94.58048073,39.22747545
54848,1 NE 74TH TERR,1 NE 74TH TER,-94.58042775,39.22909967
78819,1 NW 70TH PL,1 NW 70TH PL,-94.5809527,39.22308656
64473,1 NW 69TH ST,5111 NW 83RD ST,-94.58109841,39.21908961
48238,1 NE 70TH PL,1 NE 70TH PL,-94.58057073,39.22282826
60760,1 NE 67TH TERR,5000 PLANO PKWY,-94.58065462,39.21590398
80166,1 NW 67TH TERR,1 NW 67TH TER,-94.58096047,39.21585952
59560,1 NW 67TH ST,5545 N OAK TRFY STE 4,-94.5812428,39.21417275
48854,1 NW 64TH TERR,1 NW 64TH TER,-94.58178893,39.21092106
70308,1 NE 67TH ST,1 NE 67TH ST,-94.58060041,39.21395641
84376,1 NE 64TH ST,1 NE 64TH ST,-94.58066542,39.20981243
85768,1 NE 63RD TERR,1 NE 63RD TER,-94.58068242,39.20862068
61010,1 NW 64TH ST,1 NW 64TH ST,-94.5812458,39.20992586
66322,1 NW 61ST ST,1 NW 61ST ST,-94.58120129,39.20409311
51664,1 NW 61ST TERR,5925 N WOODLAND DR,-94.58123147,39.20504758
75126,1 NE 62ND PL,1 KAISER PLZ STE 1450,-94.58070382,39.20670747
52175,1 NE 62ND TERR,111 CIRCLE DR,-94.5805785,39.20763693
78867,1 NW 53RD TERR,1 NW 53RD TER,-94.58127699,39.19136164
66035,1 WOODLANDS DR EAST,1 THE WOODLANDS,-94.54339297,39.20421903
812218,1 NW BRIAR POINT DR,1 NW BRIAR POINT DR,-94.59068705,39.16544975
62975,1 NE VIVION RD,21 NE VIVION RD,-94.58080662,39.1807435
57716,1 NE NORMANDY LN,1 NE NORMANDY LN,-94.58091289,39.17460597
72237,1 NE BRIARCLIFF RD,1 NE BRIARCLIFF RD,-94.5810381,39.17009927
48225,1 NW 39TH ST,1 NW 39TH ST,-94.58165204,39.16500979
87382,1 NW 38TH ST,1 NW 38TH ST,-94.58167527,39.16334407
45479,1 NW GREENTREE LN,1 NW GREENTREE LN,-94.58257193,39.16130767
56551,1 N BRIARCLIFF RD,414 E 12TH ST,-94.58166281,39.15780905
917619,1 NE HARLEM RD,9100 NE 80TH ST,-94.58541408,39.11753872
38183,2 NE 115TH ST,13100 N ROBINHOOD LN,-94.57962848,39.30245424
45325,2 NW 114TH CT,817 PLUM ROSE DR,-94.58015657,39.30210609
39763,2 NW 112TH ST,2 NW 112TH ST,-94.58018318,39.29690305
42009,2 NE 111TH ST,2 NE 111TH ST,-94.57971412,39.29538082
39261,2 NE 103RD TERR,2 NE 103RD TER,-94.57997252,39.28174668
41471,2 NE 101ST PL,2 NE 101ST PL,-94.57974166,39.27809004
45718,2 NW 101ST TERR,1011 ASHLAND CT,-94.58013795,39.27764165
803578,2 NE 94TH CT,2 NE 94TH CT,-94.57928718,39.26443914
803545,2 NE 95TH CT,2 NE 95TH CT,-94.57926933,39.26534065
793101,2 NE 90TH TERR,2 NE 90TH TER,-94.58011519,39.25880799
793042,2 NW 90TH PL,2 NW 90TH PL,-94.58113314,39.25892584
